Stichdatum;PLZ;Geschlecht;Vorname;Anzahl;Rang;ORTBEZ18
2022-07-01;1745;w;Laura;8;5;Lentigny
2022-07-01;1745;m;Michel;10;1;Lentigny
2022-07-01;1745;m;Daniel;8;4;Lentigny
2022-07-01;1745;m;David;8;4;Lentigny
2022-07-01;1745;m;Thierry;8;4;Lentigny
2022-07-01;1745;m;Christian;8;4;Lentigny
2022-07-01;1746;w;Maria;10;2;Prez-vers-Noréaz
2022-07-01;1746;w;Sandra;10;2;Prez-vers-Noréaz
2022-07-01;1746;w;Aline;8;4;Prez-vers-Noréaz
2022-07-01;1746;m;Olivier;11;3;Prez-vers-Noréaz
2022-07-01;1746;m;David;10;4;Prez-vers-Noréaz
2022-07-01;1746;m;Patrick;10;4;Prez-vers-Noréaz
2022-07-01;1747;m;n/a;5;2;Corserey
2022-07-01;1748;w;Sandra;8;2;Torny-le-Grand
2022-07-01;1748;w;n/a;5;4;Torny-le-Grand
2022-07-01;1748;m;Philippe;7;2;Torny-le-Grand
2022-07-01;1748;m;David;6;4;Torny-le-Grand
2022-07-01;1749;w;Chantal;8;1;Middes
2022-07-01;1749;w;Anita;6;2;Middes
2022-07-01;1749;w;Monica;6;2;Middes
2022-07-01;1749;m;David;7;1;Middes
2022-07-01;1749;m;Pascal;6;2;Middes
2022-07-01;1752;m;Nicolas;80;2;Villars-sur-Glâne
2022-07-01;1752;m;David;77;4;Villars-sur-Glâne
2022-07-01;1753;w;Nicole;11;2;Matran
2022-07-01;1753;w;Catherine;10;3;Matran
2022-07-01;1753;w;Christine;10;3;Matran
2022-07-01;1754;w;Chantal;10;5;Avry-sur-Matran/Corjolens
2022-07-01;1754;m;André;18;2;Avry-sur-Matran/Corjolens
2022-07-01;1754;m;Christian;18;2;Avry-sur-Matran/Corjolens
2022-07-01;1756;w;Camille;7;3;Lovens/Onnens FR
2022-07-01;1756;w;Martine;6;5;Lovens/Onnens FR
2022-07-01;1756;w;Chantal;6;5;Lovens/Onnens FR
2022-07-01;1756;m;Olivier;9;3;Lovens/Onnens FR
2022-07-01;1757;w;Valérie;7;1;Noréaz
2022-07-01;1762;w;Ana;21;2;Givisiez
2022-07-01;1762;w;Patricia;18;4;Givisiez
2022-07-01;1762;m;David;24;3;Givisiez
2022-07-01;1763;w;Maria;35;1;Granges-Paccot
2022-07-01;1763;w;Nicole;23;2;Granges-Paccot
2022-07-01;4813;w;Elisabeth;11;4;Uerkheim
2022-07-01;4813;m;Peter;26;1;Uerkheim
2022-07-01;4813;m;Roger;15;5;Uerkheim
2022-07-01;4814;m;Daniel;12;2;Bottenwil
2022-07-01;4814;m;Hans;11;3;Bottenwil
2022-07-01;4814;m;Max;9;4;Bottenwil
2022-07-01;4852;w;Ursula;50;3;Rothrist
2022-07-01;4853;w;Sandra;20;1;Riken AG/Murgenthal
2022-07-01;4853;w;Barbara;15;5;Riken AG/Murgenthal
2022-07-01;4853;m;Heinz;26;3;Riken AG/Murgenthal
2022-07-01;4856;w;Susanne;8;1;Glashütten
2022-07-01;4856;w;Heidi;8;1;Glashütten
2022-07-01;4856;w;Rahel;7;5;Glashütten
2022-07-01;4856;w;Andrea;7;5;Glashütten
2022-07-01;4856;m;Peter;14;1;Glashütten
2022-07-01;4856;m;Martin;11;4;Glashütten
2022-07-01;4900;w;Ursula;103;3;Langenthal
2022-07-01;4900;m;Hans;139;4;Langenthal
2022-07-01;4911;w;Heidi;8;1;Schwarzhäusern
2022-07-01;4911;w;Andrea;6;2;Schwarzhäusern
2022-07-01;4911;w;Irene;6;2;Schwarzhäusern
2022-07-01;4911;m;Thomas;8;2;Schwarzhäusern
2022-07-01;4911;m;Markus;6;4;Schwarzhäusern
2022-07-01;4911;m;Jürg;6;4;Schwarzhäusern
2022-07-01;4911;m;Hans;6;4;Schwarzhäusern
2022-07-01;4912;w;Sandra;43;3;Aarwangen
2022-07-01;4912;w;Barbara;34;5;Aarwangen
2022-07-01;4912;m;Hans;54;3;Aarwangen
2022-07-01;4912;m;Thomas;52;4;Aarwangen
2022-07-01;4913;w;Marianne;7;3;Bannwil
2022-07-01;4913;w;Monika;6;4;Bannwil
2022-07-01;4913;m;Fritz;11;5;Bannwil
2022-07-01;4914;w;Ursula;26;3;Roggwil BE
2022-07-01;4914;w;Maria;24;5;Roggwil BE
2022-07-01;4914;m;Daniel;54;1;Roggwil BE
2022-07-01;4915;m;Hans;14;1;St. Urban
2022-07-01;4915;m;Markus;14;1;St. Urban
2022-07-01;4915;m;Peter;13;3;St. Urban
2022-07-01;4916;w;n/a;4;1;Untersteckholz
2022-07-01;4916;w;n/a;2;4;Untersteckholz
2022-07-01;4916;m;Martin;6;1;Untersteckholz
2022-07-01;4916;m;n/a;3;4;Untersteckholz
2022-07-01;4917;w;Verena;21;1;Melchnau/Busswil b.Melchnau
2022-07-01;4917;m;Hans;26;4;Melchnau/Busswil b.Melchnau
2022-07-01;4919;w;n/a;4;1;Reisiswil
2022-07-01;4919;w;n/a;3;2;Reisiswil
2022-07-01;4919;m;n/a;4;1;Reisiswil
2022-07-01;4922;w;Ruth;28;3;Bützberg/Thunstetten
2022-07-01;4922;w;Christine;27;4;Bützberg/Thunstetten
2022-07-01;4922;m;Daniel;35;4;Bützberg/Thunstetten
2022-07-01;4923;w;Heidi;21;1;Wynau
2022-07-01;4923;w;Melanie;15;4;Wynau
2022-07-01;4923;w;Christine;13;5;Wynau
2022-07-01;4923;w;Marianne;13;5;Wynau
2022-07-01;4923;w;Maria;13;5;Wynau
2022-07-01;4923;m;Peter;26;1;Wynau
2022-07-01;4924;m;Daniel;7;1;Obersteckholz
2022-07-01;4924;m;Martin;6;4;Obersteckholz
2022-07-01;4924;m;Beat;6;4;Obersteckholz
2022-07-01;4932;w;Ruth;33;1;Lotzwil/Gutenburg
2022-07-01;4932;w;Barbara;22;5;Lotzwil/Gutenburg
2022-07-01;4932;w;Karin;22;5;Lotzwil/Gutenburg
2022-07-01;4933;m;Heinz;8;5;Rütschelen
2022-07-01;4934;m;Andreas;35;3;Madiswil
2022-07-01;4934;m;Ernst;30;5;Madiswil
2022-07-01;4935;w;Nicole;6;1;Leimiswil
2022-07-01;4935;m;Daniel;11;1;Leimiswil
2022-07-01;4935;m;Peter;8;4;Leimiswil
2022-07-01;4935;m;Markus;7;5;Leimiswil
2022-07-01;4936;w;Andrea;8;1;Kleindietwil
2022-07-01;4936;w;Ruth;8;1;Kleindietwil
2022-07-01;4936;w;Erika;6;3;Kleindietwil
2022-07-01;4936;m;Stefan;7;4;Kleindietwil
2022-07-01;4936;m;Bruno;7;4;Kleindietwil
2022-07-01;4937;w;Ruth;10;1;Ursenbach
2022-07-01;4937;w;Margrith;9;2;Ursenbach
2022-07-01;4937;w;Barbara;8;5;Ursenbach
2022-07-01;4937;w;Nadja;8;5;Ursenbach
2022-07-01;4937;m;Hans;19;1;Ursenbach
2022-07-01;4937;m;Fritz;15;3;Ursenbach
2022-07-01;4937;m;Walter;13;4;Ursenbach
2022-07-01;4938;m;Hans;31;3;Rohrbachgraben/Rohrbach
2022-07-01;4942;w;Marianne;9;1;Walterswil BE
2022-07-01;4942;w;Therese;7;3;Walterswil BE
2022-07-01;4943;w;Elisabeth;9;1;Oeschenbach
2022-07-01;4943;m;Paul;6;3;Oeschenbach
2022-07-01;4944;w;n/a;5;4;Auswil
2022-07-01;4944;m;Ernst;7;3;Auswil
2022-07-01;4950;w;Ruth;49;2;Huttwil
2022-07-01;4950;w;Elisabeth;41;4;Huttwil
2022-07-01;4950;m;Fritz;65;4;Huttwil
2022-07-01;4952;w;Sandra;15;3;Eriswil
2022-07-01;4952;m;Fritz;28;2;Eriswil
2022-07-01;4953;m;Hans;6;4;Schwarzenbach BE
2022-07-01;4954;w;Monika;15;3;Wyssachen
2022-07-01;4954;w;Margrit;14;4;Wyssachen
2022-07-01;4954;m;Martin;22;2;Wyssachen
2022-07-01;4954;m;Thomas;16;5;Wyssachen
2022-07-01;4955;w;Monika;10;1;Gondiswil
2022-07-01;4955;w;Daniela;9;2;Gondiswil
2022-07-01;4955;w;Melanie;8;4;Gondiswil
2022-07-01;4955;w;Therese;8;4;Gondiswil
2022-07-01;4955;w;Elisabeth;8;4;Gondiswil
2022-07-01;4955;m;Adrian;11;5;Gondiswil
2022-07-01;5000;w;Maria;112;1;Aarau
2022-07-01;5000;w;Barbara;99;4;Aarau
2022-07-01;5000;w;Ruth;91;5;Aarau
2022-07-01;5000;m;Peter;199;1;Aarau
2022-07-01;5000;m;Daniel;167;2;Aarau
2022-07-01;5004;w;Sandra;14;2;Aarau
2022-07-01;5004;m;Christian;14;4;Aarau
2022-07-01;5004;m;Thomas;14;4;Aarau
2022-07-01;5012;w;Ruth;32;2;Schönenwerd/Eppenberg/Wöschnau
2022-07-01;5012;w;Ursula;24;4;Schönenwerd/Eppenberg/Wöschnau
2022-07-01;5012;w;Monika;23;5;Schönenwerd/Eppenberg/Wöschnau
2022-07-01;5012;w;Brigitte;23;5;Schönenwerd/Eppenberg/Wöschnau
2022-07-01;5012;m;Daniel;45;3;Schönenwerd/Eppenberg/Wöschnau
2022-07-01;5012;m;Markus;42;4;Schönenwerd/Eppenberg/Wöschnau
2022-07-01;5013;w;Maria;26;1;Niedergösgen
2022-07-01;5013;w;Nicole;23;2;Niedergösgen
2022-07-01;5013;w;Ursula;20;3;Niedergösgen
2022-07-01;5013;w;Beatrice;18;5;Niedergösgen
2022-07-01;5013;m;Andreas;35;3;Niedergösgen
2022-07-01;5013;m;Markus;30;4;Niedergösgen
2022-07-01;5014;w;Monika;25;1;Gretzenbach
2022-07-01;5014;w;Maria;22;3;Gretzenbach
2022-07-01;5014;w;Ursula;20;4;Gretzenbach
2022-07-01;5014;m;Daniel;38;1;Gretzenbach
2022-07-01;5014;m;Thomas;33;2;Gretzenbach
2022-07-01;5014;m;Peter;32;3;Gretzenbach
2022-07-01;5015;w;Elisabeth;24;4;Erlinsbach SO
2022-07-01;5015;m;Thomas;34;5;Erlinsbach SO
2022-07-01;5018;w;Ruth;26;4;Erlinsbach
2022-07-01;5018;m;Daniel;53;2;Erlinsbach
2022-07-01;5018;m;Michael;40;5;Erlinsbach
2022-07-01;5022;w;Claudia;20;2;Rombach
2022-07-01;5022;w;Daniela;15;5;Rombach
2022-07-01;5022;w;Barbara;15;5;Rombach
2022-07-01;5022;m;Peter;39;1;Rombach
2022-07-01;5022;m;Markus;26;4;Rombach
2022-07-01;5022;m;Andreas;25;5;Rombach
2022-07-01;5023;w;Christine;14;3;Biberstein
2022-07-01;5023;w;Susanne;13;5;Biberstein
2022-07-01;5023;m;Martin;20;4;Biberstein
2022-07-01;5023;m;Christian;20;4;Biberstein
2022-07-01;5024;w;Marianne;30;2;Küttigen
2022-07-01;5024;m;Thomas;56;3;Küttigen
2022-07-01;5026;w;n/a;5;1;Densbüren
2022-07-01;5026;m;Peter;10;1;Densbüren
2022-07-01;5026;m;Daniel;7;3;Densbüren
2022-07-01;5026;m;Thomas;6;4;Densbüren
2022-07-01;5027;w;Karin;15;1;Herznach
2022-07-01;5027;w;Andrea;11;5;Herznach
2022-07-01;5027;m;Andreas;16;4;Herznach
2022-07-01;5028;w;Sandra;12;1;Ueken
2022-07-01;5028;w;Claudia;9;3;Ueken
2022-07-01;5028;w;Heidi;7;5;Ueken
2022-07-01;5028;w;Laura;7;5;Ueken
2022-07-01;5028;m;Andreas;10;3;Ueken
2022-07-01;5028;m;Kevin;8;4;Ueken
2022-07-01;5032;w;Maria;29;1;Aarau Rohr
2022-07-01;5032;w;Monika;27;2;Aarau Rohr
2022-07-01;5032;w;Andrea;22;3;Aarau Rohr
2022-07-01;5032;w;Barbara;21;4;Aarau Rohr
2022-07-01;5032;m;Peter;45;2;Aarau Rohr
2022-07-01;5032;m;Michael;35;4;Aarau Rohr
2022-07-01;5033;w;Maria;53;1;Buchs AG
2022-07-01;5033;m;Thomas;59;3;Buchs AG
2022-07-01;5033;m;Michael;53;5;Buchs AG
2022-07-01;5034;w;Anna;47;4;Suhr
2022-07-01;5034;m;Thomas;73;5;Suhr
2022-07-01;5035;w;Elisabeth;23;5;Unterentfelden
2022-07-01;5035;m;Daniel;45;2;Unterentfelden
2022-07-01;5035;m;Thomas;30;5;Unterentfelden
2022-07-01;5036;w;Marianne;53;1;Oberentfelden
2022-07-01;5036;w;Ruth;53;1;Oberentfelden
2022-07-01;5036;w;Sandra;48;3;Oberentfelden
2022-07-01;5036;m;Stefan;59;5;Oberentfelden
2022-07-01;5037;w;Ruth;39;2;Muhen
2022-07-01;5037;w;Barbara;27;5;Muhen
2022-07-01;5040;w;Elisabeth;27;5;Schöftland
2022-07-01;5040;m;Martin;45;3;Schöftland
2022-07-01;5042;w;Ruth;14;2;Hirschthal
2022-07-01;5042;m;Daniel;24;3;Hirschthal
2022-07-01;5043;w;Monika;13;2;Holziken
2022-07-01;5043;w;Elisabeth;13;2;Holziken
2022-07-01;5043;m;Peter;17;2;Holziken
2022-07-01;5044;w;Ruth;13;1;Schlossrued
2022-07-01;5044;w;Elisabeth;10;2;Schlossrued
2022-07-01;5044;w;Monika;7;4;Schlossrued
2022-07-01;5044;m;Beat;12;2;Schlossrued
2022-07-01;5046;w;Esther;11;2;Schmiedrued/Walde AG
2022-07-01;5046;w;Barbara;11;2;Schmiedrued/Walde AG
2022-07-01;5046;w;Hanna;10;4;Schmiedrued/Walde AG
2022-07-01;5046;w;Erika;10;4;Schmiedrued/Walde AG
2022-07-01;5046;m;Daniel;19;1;Schmiedrued/Walde AG
2022-07-01;5046;m;Werner;14;3;Schmiedrued/Walde AG
2022-07-01;5053;m;Martin;24;1;Staffelbach/Wittwil
2022-07-01;5053;m;Thomas;24;1;Staffelbach/Wittwil
2022-07-01;5054;w;Sandra;12;3;Kirchleerau/Moosleerau
2022-07-01;5054;w;Erika;11;5;Kirchleerau/Moosleerau
2022-07-01;5054;w;Ursula;11;5;Kirchleerau/Moosleerau
2022-07-01;5054;w;Andrea;11;5;Kirchleerau/Moosleerau
2022-07-01;5054;w;Verena;11;5;Kirchleerau/Moosleerau
2022-07-01;5054;m;Peter;35;1;Kirchleerau/Moosleerau
2022-07-01;5054;m;Daniel;24;2;Kirchleerau/Moosleerau
2022-07-01;5054;m;Thomas;21;3;Kirchleerau/Moosleerau
2022-07-01;5056;w;n/a;4;1;Attelwil
2022-07-01;5056;w;n/a;3;2;Attelwil
2022-07-01;5056;m;n/a;4;3;Attelwil
2022-07-01;5057;w;Marianne;9;3;Reitnau
2022-07-01;5057;w;Barbara;8;5;Reitnau
2022-07-01;5057;m;Peter;17;1;Reitnau
2022-07-01;5057;m;Markus;14;5;Reitnau
2022-07-01;5058;w;n/a;4;1;Wiliberg
2022-07-01;5058;w;n/a;2;4;Wiliberg
2022-07-01;5062;m;Bruno;7;4;Oberhof
2022-07-01;5063;w;Cornelia;10;3;Wölflinswil
2022-07-01;5063;w;Ruth;9;4;Wölflinswil
2022-07-01;5063;w;Nicole;8;5;Wölflinswil
2022-07-01;5063;w;Jasmin;8;5;Wölflinswil
2022-07-01;5063;w;Ursula;8;5;Wölflinswil
2022-07-01;5063;m;Michael;12;3;Wölflinswil
2022-07-01;5063;m;Hans;12;3;Wölflinswil
2022-07-01;5064;w;Andrea;11;2;Wittnau
2022-07-01;5064;w;Rita;9;4;Wittnau
2022-07-01;5064;m;Peter;13;3;Wittnau
2022-07-01;5064;m;Markus;12;5;Wittnau
2022-07-01;5070;w;Silvia;30;5;Frick
2022-07-01;5070;m;Daniel;57;1;Frick
2022-07-01;5070;m;Michael;56;2;Frick
2022-07-01;5070;m;Markus;49;5;Frick
2022-07-01;5072;w;Esther;10;2;Oeschgen
2022-07-01;5072;m;Stefan;16;1;Oeschgen
2022-07-01;5073;w;Sandra;26;3;Gipf-Oberfrick
2022-07-01;5073;m;Peter;39;4;Gipf-Oberfrick
2022-07-01;5074;w;Sandra;20;1;Eiken
2022-07-01;5074;w;Monika;15;3;Eiken
2022-07-01;5074;w;Ursula;13;4;Eiken
2022-07-01;5074;w;Nicole;13;4;Eiken
2022-07-01;5074;m;Michael;29;1;Eiken
2022-07-01;5074;m;Daniel;25;2;Eiken
2022-07-01;5074;m;Martin;23;3;Eiken
2022-07-01;5074;m;Markus;20;4;Eiken
2022-07-01;5075;w;Claudia;13;1;Hornussen
2022-07-01;5075;w;Corinne;7;4;Hornussen
2022-07-01;5075;m;Thomas;13;4;Hornussen
2022-07-01;5076;w;Nadia;6;3;Bözen
2022-07-01;5076;w;Nadine;6;3;Bözen
2022-07-01;5076;m;Roland;9;5;Bözen
2022-07-01;5076;m;Thomas;9;5;Bözen
2022-07-01;5077;w;n/a;4;1;Elfingen
2022-07-01;5077;m;Thomas;8;1;Elfingen
2022-07-01;5078;w;Ruth;8;1;Effingen
2022-07-01;5078;w;Barbara;6;3;Effingen
2022-07-01;5078;m;Peter;8;1;Effingen
2022-07-01;5078;m;Michael;7;4;Effingen
2022-07-01;5079;w;Nicole;10;1;Zeihen
2022-07-01;5079;w;Andrea;10;1;Zeihen
2022-07-01;5079;w;Anita;9;3;Zeihen
2022-07-01;5079;m;Michael;16;1;Zeihen
2022-07-01;5080;w;Maria;30;1;Laufenburg
2022-07-01;5080;w;Anna;13;5;Laufenburg
2022-07-01;5080;m;Michael;24;3;Laufenburg
2022-07-01;5080;m;Daniel;21;4;Laufenburg
2022-07-01;5082;w;Manuela;16;3;Kaisten
2022-07-01;5082;w;Fabienne;15;4;Kaisten
2022-07-01;5082;m;Daniel;50;1;Kaisten
2022-07-01;5082;m;Thomas;28;2;Kaisten
2022-07-01;5082;m;Stefan;24;4;Kaisten
2022-07-01;5083;w;n/a;4;1;Ittenthal
2022-07-01;5083;w;n/a;3;3;Ittenthal
2022-07-01;5083;m;n/a;4;2;Ittenthal
2022-07-01;5085;w;Anita;9;2;Sulz AG
2022-07-01;5102;w;Monika;36;2;Rupperswil
2022-07-01;5102;w;Tanja;28;5;Rupperswil
2022-07-01;5102;m;Peter;58;1;Rupperswil
2022-07-01;5103;w;Ursula;29;5;Wildegg/Möriken AG
2022-07-01;5103;w;Sandra;29;5;Wildegg/Möriken AG
2022-07-01;5103;m;Markus;46;4;Wildegg/Möriken AG
2022-07-01;5103;m;Martin;36;5;Wildegg/Möriken AG
2022-07-01;5105;w;Margrit;17;1;Auenstein
2022-07-01;5105;m;Thomas;21;2;Auenstein
2022-07-01;5105;m;Peter;20;3;Auenstein
2022-07-01;5106;w;Susanne;13;2;Veltheim AG
2022-07-01;5106;w;Anita;11;4;Veltheim AG
2022-07-01;5106;w;Barbara;10;5;Veltheim AG
2022-07-01;5106;m;Daniel;25;1;Veltheim AG
2022-07-01;5106;m;Christian;14;5;Veltheim AG
2022-07-01;5107;w;Ruth;21;2;Schinznach Dorf
2022-07-01;5107;w;Esther;14;5;Schinznach Dorf
2022-07-01;5107;m;Hans;24;2;Schinznach Dorf
2022-07-01;5107;m;Stefan;17;5;Schinznach Dorf
2022-07-01;5108;w;Sandra;7;1;Oberflachs
2022-07-01;5108;w;Ursula;6;3;Oberflachs
2022-07-01;5108;w;Ruth;6;3;Oberflachs
2022-07-01;5112;w;Monika;8;2;Thalheim AG
2022-07-01;5112;m;Thomas;11;3;Thalheim AG
2022-07-01;5112;m;Roland;11;3;Thalheim AG
2022-07-01;5112;m;Simon;9;5;Thalheim AG
2022-07-01;5112;m;Urs;9;5;Thalheim AG
2022-07-01;5112;m;Heinz;9;5;Thalheim AG
2022-07-01;5113;m;Michael;15;2;Holderbank AG
2022-07-01;5113;m;Christian;13;3;Holderbank AG
2022-07-01;5113;m;Walter;11;5;Holderbank AG
2022-07-01;5113;m;Marco;11;5;Holderbank AG
2022-07-01;5116;w;Andrea;10;3;Schinznach Bad
2022-07-01;5116;m;Daniel;20;1;Schinznach Bad
2022-07-01;5116;m;Michael;13;3;Schinznach Bad
2022-07-01;5200;w;Barbara;57;3;Brugg AG
2022-07-01;5200;w;Susanne;53;4;Brugg AG
2022-07-01;5200;m;Daniel;114;2;Brugg AG
2022-07-01;5200;m;Thomas;102;3;Brugg AG
2022-07-01;5200;m;Andreas;72;5;Brugg AG
2022-07-01;5210;w;Maria;61;1;Windisch
2022-07-01;5210;w;Anna;46;2;Windisch
2022-07-01;5210;w;Monika;39;3;Windisch
2022-07-01;5210;m;Thomas;68;2;Windisch
2022-07-01;5212;w;Elisabeth;27;2;Hausen AG
2022-07-01;5212;w;Daniela;22;3;Hausen AG
2022-07-01;5212;w;Ruth;21;4;Hausen AG
2022-07-01;5212;m;Peter;39;1;Hausen AG
2022-07-01;5212;m;Stefan;34;2;Hausen AG
2022-07-01;5212;m;Thomas;33;3;Hausen AG
2022-07-01;5212;m;Andreas;27;5;Hausen AG
2022-07-01;5213;w;Maria;17;1;Villnachern
2022-07-01;5213;m;Daniel;18;3;Villnachern
2022-07-01;5222;w;Claudia;8;4;Umiken
2022-07-01;5222;w;Sarah;8;4;Umiken
2022-07-01;5222;w;Ursula;8;4;Umiken
2022-07-01;5222;m;Christoph;13;2;Umiken
2022-07-01;5222;m;Thomas;12;4;Umiken
2022-07-01;5223;w;Monika;13;1;Riniken
2022-07-01;5223;w;Heidi;10;5;Riniken
2022-07-01;5223;w;Ursula;10;5;Riniken
2022-07-01;5225;w;Sandra;20;1;Bözberg
2022-07-01;5225;w;Elisabeth;13;3;Bözberg
2022-07-01;5225;m;Daniel;23;1;Bözberg
2022-07-01;5233;w;n/a;4;3;Stilli
2022-07-01;5233;m;Daniel;10;1;Stilli
2022-07-01;5234;w;Sandra;13;2;Villigen
2022-07-01;5234;m;René;15;5;Villigen
2022-07-01;5235;w;Nicole;6;4;Rüfenach AG
2022-07-01;5235;w;Sabrina;6;4;Rüfenach AG
2022-07-01;5235;m;Daniel;12;1;Rüfenach AG
2022-07-01;5235;m;Andreas;9;2;Rüfenach AG
2022-07-01;5235;m;Lukas;8;3;Rüfenach AG
2022-07-01;5236;w;Nicole;9;1;Remigen
2022-07-01;5236;m;Ernst;12;2;Remigen
2022-07-01;5236;m;Michael;12;2;Remigen
2022-07-01;5236;m;Roger;11;5;Remigen
2022-07-01;5236;m;Urs;11;5;Remigen
2022-07-01;5237;w;n/a;4;4;Mönthal
2022-07-01;5237;m;René;6;1;Mönthal
2022-07-01;5237;m;Christian;6;1;Mönthal
2022-07-01;5237;m;Stefan;6;1;Mönthal
2022-07-01;5237;m;n/a;5;5;Mönthal
2022-07-01;5242;w;Claudia;35;2;Birr/Lupfig
2022-07-01;5242;w;Barbara;33;5;Birr/Lupfig
2022-07-01;5242;m;Thomas;49;3;Birr/Lupfig
2022-07-01;5242;m;Markus;45;4;Birr/Lupfig
2022-07-01;5242;m;Martin;42;5;Birr/Lupfig
2022-07-01;5243;w;Sandra;13;1;Mülligen
2022-07-01;5243;w;Daniela;11;2;Mülligen
2022-07-01;5243;m;Hans;13;3;Mülligen
2022-07-01;5244;w;Andrea;7;2;Birrhard
2022-07-01;5244;w;Erika;7;2;Birrhard
2022-07-01;5244;m;Thomas;11;1;Birrhard
2022-07-01;5244;m;Christian;8;2;Birrhard
2022-07-01;5244;m;Stefan;6;5;Birrhard
2022-07-01;5245;m;Markus;8;1;Habsburg
2022-07-01;5245;m;Andreas;7;4;Habsburg
2022-07-01;5246;w;Andrea;7;1;Scherz
2022-07-01;5246;w;Marianne;6;2;Scherz
2022-07-01;5246;w;Elisabeth;6;2;Scherz
2022-07-01;5246;w;Rosmarie;6;2;Scherz
2022-07-01;5246;m;Hans;11;2;Scherz
2022-07-01;5246;m;Peter;8;4;Scherz
2022-07-01;5246;m;Roland;7;5;Scherz
2022-07-01;5246;m;Patrick;7;5;Scherz
2022-07-01;5246;m;Martin;7;5;Scherz
2022-07-01;5272;w;Claudia;11;2;Gansingen
2022-07-01;5272;w;Maria;7;4;Gansingen
2022-07-01;5272;m;Andreas;16;1;Gansingen
2022-07-01;5272;m;Stefan;16;1;Gansingen
2022-07-01;5272;m;Daniel;15;3;Gansingen
2022-07-01;5272;m;Martin;13;5;Gansingen
2022-07-01;5273;w;n/a;4;1;Oberhofen AG
2022-07-01;5273;m;n/a;4;4;Oberhofen AG
2022-07-01;5274;w;Martina;6;1;Mettau
2022-07-01;5274;m;n/a;5;5;Mettau
2022-07-01;5275;w;Monika;6;2;Etzgen
2022-07-01;5275;w;n/a;4;4;Etzgen
2022-07-01;5275;m;Thomas;13;1;Etzgen
2022-07-01;5275;m;Martin;7;2;Etzgen
2022-07-01;5275;m;Peter;6;4;Etzgen
2022-07-01;5276;w;Nicole;7;1;Wil AG
2022-07-01;5276;m;Peter;14;1;Wil AG
2022-07-01;5276;m;Daniel;11;2;Wil AG
2022-07-01;5276;m;Roland;6;3;Wil AG
2022-07-01;5277;w;n/a;5;1;Hottwil
2022-07-01;5277;w;n/a;3;3;Hottwil
2022-07-01;5277;m;Hans;6;1;Hottwil
2022-07-01;5300;w;Maria;41;1;Turgi
2022-07-01;5300;w;Ruth;19;4;Turgi
2022-07-01;5300;m;Martin;27;4;Turgi
2022-07-01;5301;w;n/a;3;4;Siggenthal Station
2022-07-01;5303;w;Claudia;35;2;Würenlingen
2022-07-01;5303;w;Beatrice;26;5;Würenlingen
2022-07-01;5303;m;Peter;47;1;Würenlingen
2022-07-01;5304;m;Peter;26;1;Endingen
2022-07-01;5304;m;Christian;25;2;Endingen
2022-07-01;5304;m;Thomas;24;3;Endingen
2022-07-01;5305;w;n/a;4;2;Unterendingen
2022-07-01;5305;w;n/a;3;5;Unterendingen
2022-07-01;5306;w;Heidi;8;4;Tegerfelden
2022-07-01;5306;w;Elisabeth;8;4;Tegerfelden
2022-07-01;5306;w;Ursula;8;4;Tegerfelden
2022-07-01;5306;m;Marco;12;1;Tegerfelden
2022-07-01;5306;m;Roger;11;3;Tegerfelden
2022-07-01;5306;m;Stefan;11;3;Tegerfelden
2022-07-01;5312;w;Claudia;23;2;Döttingen
2022-07-01;5312;w;Elisabeth;22;3;Döttingen
2022-07-01;5312;w;Margrit;20;5;Döttingen
2022-07-01;5312;w;Rita;20;5;Döttingen
2022-07-01;5312;m;Thomas;34;2;Döttingen
2022-07-01;5312;m;Daniel;29;4;Döttingen
2022-07-01;5312;m;Hans;26;5;Döttingen
2022-07-01;5313;w;Maria;27;1;Klingnau
2022-07-01;5313;m;Peter;49;1;Klingnau
2022-07-01;5314;w;Ruth;24;2;Kleindöttingen
2022-07-01;5314;w;Claudia;20;3;Kleindöttingen
2022-07-01;5314;w;Rita;18;5;Kleindöttingen
2022-07-01;5314;m;Peter;30;1;Kleindöttingen
2022-07-01;5315;w;Sandra;6;1;Böttstein
2022-07-01;5315;m;Thomas;6;1;Böttstein
2022-07-01;5315;m;Peter;6;1;Böttstein
2022-07-01;5316;m;Peter;24;2;Leuggern
2022-07-01;5317;w;n/a;4;2;Hettenschwil
2022-07-01;5317;m;Daniel;6;1;Hettenschwil
2022-07-01;5318;w;n/a;5;1;Mandach
2022-07-01;5318;w;n/a;4;3;Mandach
2022-07-01;5318;m;n/a;5;1;Mandach
2022-07-01;5322;w;Ursula;14;1;Koblenz
2022-07-01;5322;w;Andrea;12;2;Koblenz
2022-07-01;5322;w;Daniela;10;5;Koblenz
2022-07-01;5322;m;Thomas;19;1;Koblenz
2022-07-01;5322;m;Kurt;15;4;Koblenz
2022-07-01;5323;m;Daniel;12;1;Rietheim
2022-07-01;5323;m;Walter;6;4;Rietheim
2022-07-01;5324;w;Ursula;6;5;Full-Reuenthal
2022-07-01;5325;w;Rita;11;1;Leibstadt
2022-07-01;5325;w;Claudia;10;2;Leibstadt
2022-07-01;5325;w;Nicole;9;5;Leibstadt
2022-07-01;5326;w;Martina;6;1;Schwaderloch
2022-07-01;5326;m;Peter;16;1;Schwaderloch
